"ULTIMA ATUALIZACAO";"08/04/2021 02:08"
"ANO";"MES";"SENADOR";"TIPO_DESPESA";"CNPJ_CPF";"FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO";"COD_DOCUMENTO"
"2021";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"062.135.728-64";"FERNANDO WALDEIR PACINI e ANA LUCIA DA SILVA SILVINO";"01/2021";"05/01/2021";"Despesa com pagamento de aluguel de imóvel para uso do Escritório de apoio do Senador Acir Gurgacz, em Porto Velho/RO.";"1000";"2157367"
"2021";"1";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"001/21";"06/01/2021";"Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz";"6000";"2156383"
"2021";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"10";"25/01/2021";"Divulgação da atividade parlamentar";"1500";"2154509"
"2021";"1";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"13.659.201/0001-47";"LINHA PURPURA FOTO E VIDEO LTDA";"44";"07/01/2021";"Divulgação da atividade parlamentar";"6000";"2154507"
"2021";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"VVEWKR";"21/01/2021";"Companhia Aérea: LATAM, Localizador: VVEWKR. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3033 - CWBBSB - 25/01/2021;";"1486,46";"2154508"
"2021";"1";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"FYJJRL";"27/01/2021";"Companhia Aérea: AZUL, Localizador: FYJJRL. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4586 - VCPCAC - 29/01/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4399 - BSBVCP - 29/01/2021;";"1890";"2156714"
"2021";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"062.135.728-64";"FERNANDO WALDEIR PACINI e ANA LUCIA DA SILVA SILVINO";"02/2021";"05/02/2021";"Despesa com aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz, em Porto Velho/RO.";"1000";"2157368"
"2021";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"004.948.028-63";"GILBERTO PISELO DO NASCIMENTO";"002/21";"02/02/2021";"Despesa com pagamento de aluguel de imóvel para uso do escritório de apoio do Senador Acir Gurgacz em Ji-Paraná/RO.";"6000";"2156715"
"2021";"2";"ACIR GURGACZ";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"05.423.963/0001-11";"OI MÓVEL S.A.";"652754884";"25/02/2021";"Despesa com telefone celular para uso do escritório de apoio do Senador Acir Gurgacz, em Ji-Paraná/RO.";"189,77";"2157372"
"2021";"2";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"202100000000014";"09/02/2021";"Despesa com divulgação da atividade parlamentar no website www.informanahora.com";"1500";"2156071"
"2021";"2";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.453.598/0217-16";"RAIZEN COMBUSTÍVEIS S.A.";"000006400";"04/02/2021";"Despesa com combustível para abastecimento de aeronave";"2868,19";"2156069"
"2021";"2";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000.011.347";"08/02/2021";"Despesa com aquisição de combustível para abastecimento de aeronave";"1653,6";"2156070"
"2021";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"KXNXXK";"10/02/2021";"Companhia Aérea: LATAM, Localizador: KXNXXK. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3132 - CGHCWB - 11/02/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3083 - BSBCGH - 11/02/2021;";"1732,44";"2156716"
"2021";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"YMVM5U";"18/02/2021";"Companhia Aérea: AZUL, Localizador: YMVM5U. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4586 - VCPCAC - 25/02/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4399 - BSBVCP - 25/02/2021;";"2720";"2156384"
"2021";"2";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"BCABYJ";"20/02/2021";"Companhia Aérea: LATAM, Localizador: BCABYJ. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3262 - GRUBSB - 22/02/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3289 - CWBGRU - 22/02/2021;";"2455";"2156074"
"2021";"3";"ACIR GURGACZ";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"13.659.201/0001-47";"LINHA PURPURA FOTO E VIDEO LTDA";"50";"10/03/2021";"Despesa com produção de texto e edição de vídeo para divulgação da atividade parlamentar";"6000";"2157071"
"2021";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"26.320.603/0001-64";"INFORMANAHORA";"202100000000031";"03/03/2021";"Divulgação da atividade parlamentar";"1500";"2156717"
"2021";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"84.721.745/0001-30";"O.F. CALADO EDIÇÕES";"171";"02/03/2021";"Despesa com divulgação da atividade parlamentar";"1000";"2156387"
"2021";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"36.413.835/0001-10";"R. TEODORO DE  OLIVEIRA CONSULTORIA EM PUBLICIDADE";"53";"11/03/2021";"Divulgação da atividade parlamentar";"1000";"2157072"
"2021";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"08.941.827/0001-01";"RONDONIA DINÂMICA COM. E SERV. DE INFORMÁTICA LTDA";"000000000001494/A";"24/03/2021";"Divulgação da atividade parlamentar";"1000";"2157603"
"2021";"3";"ACIR GURGACZ";"Divulgação da atividade parlamentar";"22.285.323/0001-01";"RONEY DA SILVA RIBEIRO 03032197503";"265";"08/03/2021";"Despesa com divulgação da atividade parlamentar";"500";"2156724"
"2021";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.453.598/0217-16";"RAIZEN COMBUSTÍVEIS S.A.";"000006415";"18/03/2021";"Despesa com aquisição de combustível para abastecimento de aeronave";"1550,35";"2157600"
"2021";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000011424";"22/03/2021";"Despesa com aquisição de combustível para abastecimento de aeronave";"2639,8";"2157601"
"2021";"3";"ACIR GURGACZ";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"84.707.538/0001-20";"YURI COMÉRCIO DE COMBUSTÍVEIS LTDA";"000011425";"22/03/2021";"Despesa com aquisição de combustível para abastecimento de aeronave";"4033,4";"2157602"
"2021";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"EMI38R";"25/02/2021";"Companhia Aérea: AZUL, Localizador: EMI38R. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4745 - VCPBSB - 01/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 01/03/2021;";"1625";"2156386"
"2021";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"CHRNFD";"05/03/2021";"Companhia Aérea: AZUL, Localizador: CHRNFD. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4745 - VCPBSB - 08/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 4587 - CACVCP - 08/03/2021;";"1490";"2156719"
"2021";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"KKGKQT";"10/03/2021";"Companhia Aérea: LATAM, Localizador: KKGKQT. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3660 - BSBCWB - 12/03/2021;";"1495";"2157070"
"2021";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"MXYDXP";"14/03/2021";"Companhia Aérea: LATAM, Localizador: MXYDXP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3084 - CGHBSB - 15/03/2021; ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3165 - CWBCGH - 15/03/2021;";"1570";"2157089"
"2021";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"UZGNKP";"16/03/2021";"Companhia Aérea: LATAM, Localizador: UZGNKP. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3006 - PVHBSB - 22/03/2021;";"1354";"2157377"
"2021";"3";"ACIR GURGACZ";"Passagens aéreas, aquáticas e terrestres nacionais";"17.872.428/0001-27";"AMERICA VIAGENS E TURISMO LTDA - ME";"HCSDNX";"16/03/2021";"Companhia Aérea: LATAM, Localizador: HCSDNX. Passageiros: ACIR MARCOS GURGACZ (Matrícula 225736, PARLAMENTAR), Voo: 3007 - BSBPVH - 18/03/2021;";"1905";"2157375"
"2021";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"28.839.939/0001-63";"CASA DESIGN SERVICOS DE APOIO ADMINISTRATIVO LTDA";"853";"15/01/2021";"";"500";"2155145"
"2021";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"06.028.059/0001-74";"CASA SHOPPING DESING LTDA - EPP";"71943790582";"09/03/2021";"";"3300";"2156928"
"2021";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"40.432.544/0107-03";"CLARO S.A / NET";"2101906694171";"01/01/2021";"";"247,96";"2156078"
"2021";"1";"ALESSANDRO VIEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"13.017.462/0001-63";"ENERGISA";"031.280.321";"13/01/2021";"";"293,8";"2156076"
"2021";"1";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"11.088.468/0001-04";"KAFLEX COMERCIAL LTDA";"202100000000001";"01/02/2021";"";"600";"2156075"
"2021";"1";"ALESSANDRO VIEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"26.472.085/0001-02";"Maxcolor Copiadora";"202100000000019";"08/02/2021";"";"200";"2156079"
"2021";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.433.933/0001-66";"BEN COMUNICAÇÃO LTDA ME";"20210000000010";"18/01/2021";"";"6000";"2155172"
"2021";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25.012.398/0001-07";"GOOGLE CLOUD BRASIL COMPUTAÇÃO E SERVIÇOS DE DADOS LTDA";"01276772";"04/01/2021";"";"26,12";"2155174"
"2021";"1";"ALESSANDRO VIEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.440.622/0001-24";"JOSE EDMILSON DA SILVA JUNIOR SOCIEDADE INDIVIDUAL DE ADVOCACIA";"00000006";"09/02/2021";"";"2500";"2156577"
"2021";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"21.591.976/0001-56";"FRANCO E OLIVEIRA SERVIÇOS LTDA - ME";"728";"28/01/2021";"Locação de veículo no período de 25/01/2021 a 28/01/2021";"360";"2155175"
"2021";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32.725.905/0001-15";"POSTO RIO POXIM LTDA";"000006114";"28/01/2021";"";"1570,36";"2155144"
"2021";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32.725.905/0001-15";"POSTO RIO POXIM LTDA";"000006115";"29/01/2021";"";"174,86";"2155143"
"2021";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"017.444.005-71";"ROGERIO VIEIRA DE ANDRADE";"202100000000003";"25/01/2021";"";"775";"2156081"
"2021";"1";"ALESSANDRO VIEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"017.444.005-71";"ROGERIO VIEIRA DE ANDRADE";"202100000000001";"25/01/2021";"";"775";"2156080"
